iteration,individual,obj_0
497,1,7.003875968992248
498,1,7.003875968992248
498,2,7.003875968992248
498,4,7.003875968992248
499,5,10.003875968992247
500,3,7.003875968992248
500,4,7.003875968992248
500,6,7.003875968992248
501,6,10.003875968992247
502,5,7.003875968992248
502,7,7.003875968992248
503,0,10.003875968992247
504,4,10.003875968992247
505,1,7.003875968992248
505,3,7.003875968992248
506,1,7.003875968992248
506,7,7.003875968992248
507,1,7.003875968992248
507,2,7.003875968992248
507,3,7.003875968992248
508,0,7.003875968992248
508,6,7.003875968992248
508,7,7.003875968992248
509,7,7.003875968992248
509,8,7.003875968992248
510,4,7.003875968992248
510,5,7.003875968992248
511,9,10.003875968992247
